"Data Source","Indicadores del desarrollo mundial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Last Updated Date","5/10/2023","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Camerún","CMR","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5047941","5197703","5350772","5510627","5675655","5844753","6022327","6206856","6395115","6584643","6777417","6980593","7195632","7417444","7641508","7867103","8098747","8341459","8418157","8476630","8515123","8654090","8788788","8923111","9090658","9410154","9711721","9996942","10286704","10596388","10818499","11162667","11577796"
"Congo, República Democrática del","COD","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14398502","14886289","15310506","15793369","16701282","17461535","17598922","17661193","17975241","18457645","18972844","19559968","20178951","20775195","21399275","22085661","22533506","22982377","23412171","23828069","24281009","24782462","25253938","26115207","27011671","27914047","28894272","29889916","30828284","31751451","32445875","33725417","35059361"
"Congo, República del","COG","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","913270","940585","968173","998271","1028756","1057690","1087375","1107090","1129174","1163094","1221081","1279992","1310937","1351129","1405156","1464221","1527237","1589371","1642565","1713370","1788389","1842541","1885755","1920680","1957890","1997819","2041567","2089890","2141363","2195682","2234418","2299859","2378882"
"Colombia","COL","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13855787","14199207","14593106","15034015","15502542","15968713","16364652","16806011","17180007","17419739","17858301","18268713","18646802","19258302","19248116","19445700","19455601","19444239","19971706","21259578","22128149","22789274","23525349","23805205","24245416","24759081","25039982","25528733","26010171","26304740","24932942","25983568","25830076"
"Comoras","COM","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97829","100430","102831","105057","107305","109672","112210","114882","117667","119936","121592","123296","125021","127457","130933","136156","141521","147019","152664","158474","164449","170591","176900","183361","189967","195023","200182","205077","209548","213852","216650","222259","228983"
"Cabo Verde","CPV","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","117561","119861","122939","126589","130614","134896","139411","144118","148943","153844","158891","164071","169257","174444","179617","184772","189912","195035","200110","205079","209631","214157","218615","223037","227455","231746","235863","239923","228928","240383","230599","238605","245779"
"Costa Rica","CRI","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1166225","1182040","1199255","1255519","1305626","1370420","1363273","1460486","1546631","1594177","1619332","1727162","1762911","1819682","1828417","1943857","1977908","2050044","2078889","2099430","2060686","2149242","2321866","2337155","2395003","2380187","2223154","2335223","2459739","2573190","2456537","2529009","2538299"
"Estados pequeos del Caribe","CSS","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2392841","2419875","2451025","2479287","2515301","2552583","2582559","2617917","2650728","2674825","2711997","2740797","2776912","2821047","2877056","2920964","2955526","2986406","3021213","3008853","2996435","3034946","3088680","3152249","3211650","3297405","3316168","3360178","3405957","3424422","3338431","3427883","3518747"
"Cuba","CUB","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4366972","4372374","4363499","4331548","4355052","4379516","4421191","4448587","4472895","4523200","4574917","4617677","4654474","4702617","4760536","4838868","4917576","4973753","5012770","5148033","5108192","5177768","5206907","5236610","5259288","5294366","5310520","5328848","5345408","5347554","4938351","5043018","5156812"
"Curacao","CUW","Población activa, total","SL.TLF.TOTL.IN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
